model,person,n_seeds,recall_mean,recall_sd
Model_B,person041,3,0.7564102564102564,0.07772022854475728
Model_B,person042,3,0.8012820512820512,0.09088106973562708
Model_B,person043,3,0.9487179487179488,0.011102889792108172
Model_B,person044,3,0.8717948717948718,0.022205779584216368
Model_B,person045,3,0.8782051282051282,0.029375485224075876
Model_B,person046,3,0.8846153846153846,0.09615384615384615
Model_B,person047,3,0.8397435897435898,0.061818274108929164
Model_B,person048,3,0.8717948717948718,0.04839637458506896
Model_B,person049,3,0.782051282051282,0.08671634140044031
Model_B,person050,3,0.891025641025641,0.048396374585068895
Model_B,person051,3,0.7692307692307692,0.019230769230769273
Model_B,person052,3,0.7307692307692308,0.01923076923076919
Model_B,person053,3,0.8974358974358975,0.06181827410892925
Model_B,person054,3,0.9358974358974358,0.044411559168432785
Model_B,person055,3,0.9615384615384616,0.0
Model_B,person056,3,0.8333333333333334,0.05875097044815179
Model_B,person057,3,0.8846153846153846,0.05087983290508822
Model_B,person058,3,0.9423076923076922,0.0
Model_B,person059,3,0.9551282051282052,0.01110288979210826
Model_B,person060,3,0.9166666666666666,0.05875097044815179
Model_B,person061,3,0.8910256410256411,0.0293754852240759
Model_B,person062,3,0.826923076923077,0.019230769230769204
Model_B,person063,3,0.8974358974358975,0.07772022854475728
Model_B,person064,3,0.9294871794871794,0.0400320384512718
Model_B,person065,3,0.8525641025641025,0.011102889792108212
Model_B,person066,3,0.814102564102564,0.022205779584216368
Model_B,person067,3,0.717948717948718,0.05551444896054093
Model_B,person068,3,0.9487179487179488,0.01110288979210822
Model_B,person069,3,0.8205128205128206,0.029375485224075907
Model_B,person070,3,0.8589743589743589,0.0444115591684327
Model_B,person071,3,0.8974358974358975,0.04003203845127177
Model_B,person072,3,0.8846153846153846,0.033308669376324554
Model_B,person073,3,0.7564102564102564,0.02220577958421643
Model_B,person074,3,0.8333333333333334,0.04003203845127183
Model_B,person075,3,0.9487179487179488,0.011102889792108172
Model_B,person076,3,0.9294871794871794,0.029375485224075897
Model_B,person077,3,0.8717948717948718,0.0400320384512718
Model_B,person078,3,0.967948717948718,0.022205779584216375
Model_B,person079,3,0.8076923076923076,0.05087983290508823
Model_B,person080,3,0.9615384615384616,0.033308669376324505
Model_B,person081,3,0.9294871794871794,0.011102889792108148
